Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
1100000000;2;5;4;198;225;2;0;2
4700000000;5;5;4;268;420;2;0;1
8700000000;4;5;2;51;300;3;0;1
1500000000;4;5;2;230;143;1;0;0
3500000000;0;5;3;480;300;1;0;0
3700000000;0;5;4;414;450;2;1;0
7500000000;8;5;3;680;350;1;1;0
3700000000;2;5;3;271;440;2;1;0
3000000000;2;5;3;242;200;2;1;0
4500000000;7;5;5;350;250;2;0;0
5000000000;8;45;8;480;500;3;0;1
1700000000;3;4;2;248;275;2;0;1
2900000000;8;4;2;189;220;2;1;0
3800000000;1;4;4;250;245;2;0;1
2200000000;2;4;2;250;200;2;1;0
1200000000;2;4;3;100;150;2;0;0
1500000000;3;4;3;168;140;1;0;1
900000000;5;4;2;118;100;1;2;0
8600000000;5;4;2;561;250;2;0;0
1500000000;2;4;3;172;200;2;0;0
4800000000;1;4;4;535;400;2;2;1
900000000;5;4;3;118;100;1;0;0
1700000000;5;4;2;136;118;2;0;1
1200000000;3;4;2;221;142;1;0;0
1500000000;1;4;3;114;148;2;1;0
1800000000;2;4;4;136;134;2;0;0
2900000000;8;4;3;149;200;1;0;1
1200000000;2;4;3;130;112;2;0;1
1500000000;2;4;3;111;176;2;0;0
5000000000;2;4;4;539;264;1;1;0
1500000000;1;4;3;114;148;2;1;1
3900000000;6;4;4;470;300;1;0;1
1800000000;8;4;4;128;200;2;0;1
2700000000;8;4;5;245;250;2;2;0
2000000000;1;4;3;300;200;1;0;0
1700000000;2;4;3;119;125;2;0;0
3000000000;5;4;3;225;180;1;2;0
1400000000;2;4;3;124;124;2;0;0
1200000000;2;4;2;140;100;1;0;1
5400000000;2;4;2;1216;350;1;0;0
1500000000;2;4;2;138;100;1;0;0
5000000000;3;4;4;631;300;1;2;0
4000000000;7;4;5;350;330;2;2;0
1900000000;5;4;4;90;120;2;2;0
1300000000;2;4;3;117;116;2;0;1
3600000000;7;3;2;245;200;1;2;0
1500000000;2;3;4;120;130;1;0;0
1300000000;2;3;2;134;200;2;1;0
2700000000;8;3;3;115;140;2;0;1
799000000;2;3;1;105;90;1;2;1
1400000000;2;3;2;100;125;2;2;0
1500000000;2;3;2;100;110;2;2;0
995000000;3;3;2;100;154;2;0;0
1500000000;0;3;3;122;185;2;0;0
2200000000;5;3;3;90;120;2;2;0
1700000000;7;3;2;185;175;1;1;0
2800000000;3;3;2;318;200;1;2;0
4600000000;7;3;3;248;150;1;2;0
3000000000;11;3;2;235;200;1;0;1
1200000000;2;3;2;62;70;2;0;0
850000000;3;3;3;106;90;1;0;0
1900000000;5;3;2;170;130;1;0;0
1800000000;7;3;2;185;175;1;0;1
2500000000;8;3;3;188;180;2;0;0
1900000000;5;3;2;162;140;2;0;0
1300000000;2;3;2;90;96;2;0;0
2500000000;3;3;3;165;300;2;0;0
1200000000;0;3;2;102;72;1;1;0
4400000000;3;3;3;250;296;2;0;0
2200000000;1;3;2;110;130;2;0;0
1500000000;3;3;2;131;108;1;0;1
1500000000;3;3;2;131;108;1;0;0
