Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
15500000000;9;8;8;684;600;1;2;0
1500000000;1;5;2;239;150;1;0;0
2500000000;2;8;4;465;400;1;0;0
11000000000;13;14;7;797;483;1;0;0
1500000000;1;5;2;239;150;1;0;0
2100000000;2;3;3;150;225;2;0;0
4000000000;2;5;4;640;400;2;1;0
1400000000;2;3;3;133;120;2;0;0
1600000000;5;3;3;236;215;2;0;0
1700000000;2;5;3;173;216;2;0;0
3400000000;1;5;4;275;400;2;0;0
2000000000;13;4;3;145;145;2;2;0
3500000000;0;5;5;489;233;1;1;0
16500000000;13;3;2;481;250;1;0;0
1300000000;2;3;2;151;260;2;0;0
3600000000;2;6;3;259;500;2;0;0
1600000000;2;3;3;133;120;2;0;0
2200000000;4;6;3;206;350;2;2;0
550000000;1;2;1;80;45;1;0;0
1600000000;2;4;3;119;125;2;0;0
455000000;0;2;1;75;55;1;2;0
2900000000;2;4;5;250;245;2;0;0
2500000000;5;5;4;149;200;2;2;0
4800000000;7;5;5;350;250;2;0;0
650000000;3;2;2;94;80;2;1;0
2500000000;2;5;5;190;170;2;2;0
4800000000;0;7;6;500;360;2;1;0
650000000;0;3;2;85;65;1;0;0
1300000000;2;4;3;139;150;2;0;0
1200000000;2;14;4;162;300;3;0;0
1000000000;7;5;3;207;220;2;0;0
3000000000;2;12;11;400;400;2;0;0
900000000;4;3;3;166;122;1;0;0
2500000000;2;12;8;130;260;2;0;0
675000000;0;3;2;90;69;1;0;0
18000000000;7;8;5;851;830;1;0;0
1300000000;1;4;1;239;100;1;0;0
600000000;3;3;1;99;89;1;2;0
3900000000;5;3;3;472;350;1;2;0
1500000000;2;4;4;174;120;1;0;0
1800000000;1;4;3;310;150;1;1;0
2000000000;2;19;4;226;240;2;0;0
3900000000;5;3;4;470;350;1;2;0
2900000000;8;6;6;361;420;2;0;0
350000000;3;3;2;105;60;1;0;0
2200000000;4;5;3;355;300;1;2;0
1200000000;0;5;3;141;145;1;0;0
875000000;1;3;2;100;70;1;0;0
450000000;1;2;1;85;65;1;0;0
675000000;0;4;2;105;105;1;0;0
700000000;2;2;2;125;69;1;0;0
850000000;2;3;2;110;75;1;0;0
1500000000;2;4;2;202;180;1;0;0
2500000000;2;4;3;216;350;2;0;0
650000000;2;2;2;94;110;2;0;0
800000000;3;2;2;109;90;1;0;0
1200000000;4;9;3;293;300;2;0;0
725000000;2;10;3;181;170;1;0;0
450000000;0;3;3;105;106;1;0;0
375000000;0;2;1;76;40;1;0;0
475000000;0;2;1;112;50;1;0;0
2400000000;2;3;3;335;250;2;0;0
550000000;2;4;2;175;175;1;0;0
500000000;5;3;1;94;94;1;0;0
1400000000;2;3;2;106;95;2;0;0
1400000000;2;5;3;182;150;1;0;0
500000000;2;3;2;100;90;1;0;0
3900000000;8;15;10;355;460;2;0;0
780000000;2;3;1;100;85;1;0;0
550000000;5;2;1;104;60;1;0;0
750000000;2;2;1;98;50;1;0;0
950000000;1;5;3;193;170;1;0;0
2500000000;5;9;5;423;400;1;0;0
550000000;2;2;1;84;50;1;0;0
1100000000;0;5;3;190;170;1;0;0
720000000;0;3;2;92;75;1;0;0
450000000;0;3;1;90;90;1;0;0
2700000000;8;4;4;890;456;1;0;0
750000000;0;3;2;101;80;1;0;0
670000000;2;2;1;80;50;1;0;0
375000000;2;3;1;40;60;2;0;0
785000000;2;3;1;107;75;1;0;0
685000000;0;3;1;76;55;1;0;0
1700000000;1;4;4;140;100;2;0;0
2100000000;2;4;5;197;185;2;0;0
2100000000;2;3;3;150;225;2;0;0
16500000000;13;3;2;481;250;1;0;1
3600000000;2;6;3;259;500;2;0;2
2100000000;2;3;3;150;225;2;0;0
